name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;58;0;82;3165;1027;3165;1074;0
header;18;175;18;219;1834;219;1834;175
A;1016;239;1016;267;1035;267;1035;239
A;64;667;64;669;66;669;66;667
B;1011;1012;1011;1039;1032;1039;1032;1012
A;66;1068;66;1070;69;1070;69;1068
A;354;1167;354;1182;362;1182;362;1167
A;71;1254;71;1256;72;1256;72;1254
B;941;1403;941;1414;949;1414;949;1403
A;534;1484;534;1490;540;1490;540;1484
C;1005;1690;1005;1719;1026;1719;1026;1690
A;822;1763;822;1774;828;1774;828;1763
A;605;1880;605;1904;619;1904;619;1880
D;921;1933;921;1948;928;1948;928;1933
A;341;1935;341;1951;349;1951;349;1935
A;916;2023;916;2040;924;2040;924;2023
A;582;2024;582;2040;590;2040;590;2024
A;497;2114;497;2130;505;2130;505;2114
A;977;2114;977;2130;985;2130;985;2114
A;583;2159;583;2164;588;2164;588;2159
B;510;2253;510;2268;519;2268;519;2253
A;487;2263;487;2274;494;2274;494;2263
A;612;2588;612;2614;628;2614;628;2588
A;896;2597;896;2602;901;2602;901;2597
A;343;3048;343;3050;345;3050;345;3048
A;316;3060;316;3060;316;3060;316;3060
