name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;750;0;1131;3161;1261;3161;1190;0
header;236;137;236;173;1860;173;1860;137
A;858;179;858;181;860;181;860;179
A;1038;200;1038;228;1060;228;1060;200
B;818;250;818;267;831;267;831;250
B;1037;921;1037;948;1058;948;1058;921
A;1212;1006;1212;1006;1212;1006;1212;1006
A;1123;1238;1123;1243;1129;1243;1129;1238
C;1043;1548;1043;1577;1066;1577;1066;1548
A;1156;1634;1156;1641;1162;1641;1162;1634
D;1044;2176;1044;2202;1065;2202;1065;2176
B;1012;2198;1012;2216;1026;2216;1026;2198
A;1210;2391;1210;2406;1218;2406;1218;2391
B;1147;2640;1147;2655;1168;2655;1168;2640
